table_id,Line,Termini,Length,Type,Maximum speed,Opening,Status,country,Length_clean,Length_km,Opening_year
1,Red line,Mersa Matruh–Ain Sokhna,660 km (410 mi),New,230 km/h (140 mph),2027,Under construction,Egypt,660 km (410 mi),660,2027
2,Al Boraq,Tanger-Ville–Kenitra,186 km (116 mi)[43],New,320 km/h (200 mph),2018,Operational,Morocco,186 km (116 mi)[43],186,2018
2,Al Boraq,Tanger-Ville–Casablanca,137 km (85 mi),Upgraded,220 km/h (140 mph),TBD[ba],Undergoing upgrade,Morocco,137 km (85 mi),137,
2,Al Boraq,Kenitra–Rabat,55 km (34 mi),New,320 km/h (200 mph),2027,Under construction,Morocco,55 km (34 mi),55,2027
2,Al Boraq,Kenitra-Marrakech,375 km (233 mi),New,320 km/h (200 mph),TBD[bb],Under construction,Morocco,375 km (233 mi),375,
2,Al Boraq,Fez-Rabat[44],180 km (110 mi),New,320 km/h (200 mph),2030,Under construction,Morocco,180 km (110 mi),180,2030
3,Shanghai maglev train,Longyang Road–Pudong International,30.5 km (19.0 mi),New (Maglev),431 km/h (268 mph),2004,Operational,China,30.5 km (19.0 mi),30.5,2004
3,Beijing–Shanghai,Beijing south–Tianjin West / Shanghai Hongqiao,"1,318 km (819 mi)",New,350 km/h (220 mph),2011,Operational,China,1318 km (819 mi),1318,2011
3,Beijing–Guangzhou[bc],Beijing west–Guangzhou,"2,230 km (1,390 mi)",New,350 km/h (220 mph),2012,Operational,China,2230 km (1390 mi),2230,2012
3,Hangzhou–Fuzhou–Shenzhen,Hangzhou east–Shenzhen north,"1,495 km (929 mi)",New,350 km/h (220 mph),2013,Operational,China,1495 km (929 mi),1495,2013
3,Huhanrong PDL,Shanghai Hongqiao–Chengdu,"2,078 km (1,291 mi)",New,350 km/h (220 mph),2014,Operational,China,2078 km (1291 mi),2078,2014
3,Shanghai–Kunming,Shanghai Hongqiao–Kunming south,"2,066 km (1,284 mi)",New,350 km/h (220 mph),2016,Operational,China,2066 km (1284 mi),2066,2016
3,Guangzhou–Kunming,Guangzhou south–Kunming south,"1,285 km (798 mi)",New,350 km/h (220 mph),2016,Operational,China,1285 km (798 mi),1285,2016
3,Suifenhe–Manzhouli,Suifenhe–Manzhouli,714 km (444 mi),Upgraded,250 km/h (160 mph),2018,Operational,China,714 km (444 mi),714,2018
3,Qingdao–Yinchuan,Qingdao north–Yinchuan,"1,762 km (1,095 mi)",Upgraded,350 km/h (220 mph),2018,Operational,China,1762 km (1095 mi),1762,2018
3,Beijing–Lanzhou,Beijing–Lanzhou,"1,526 km (948 mi)",Upgraded,350 km/h (220 mph),2019,Operational,China,1526 km (948 mi),1526,2019
3,Beijing–Harbin[bc],Beijing Chaoyang–Harbin / Dalian,"1,700 km (1,100 mi)",New,350 km/h (220 mph),2021,Operational,China,1700 km (1100 mi),1700,2021
3,Eurasia Continental Bridge,Lianyungang–Ürümqi,"3,422 km (2,126 mi)",New,350 km/h (220 mph),2021,Operational,China,3422 km (2126 mi),3422,2021
3,Coastal corridor (north extension)[bd],Dandong–Ningbo,"2,659 km (1,652 mi)",New,350 km/h (220 mph),2027,Mostly operational[be],China,2659 km (1652 mi),2659,2027
3,Coastal corridor (south extension)[bd],Huizhou south–Dongxing,954 km (593 mi),New,350 km/h (220 mph),2028,Mostly operational[bf],China,954 km (593 mi),954,2028
3,Hohhot–Nanning,Hohhot–Nanning,"2,779.7 km (1,727.2 mi)",New,350 km/h (220 mph),2028,Mostly operational[bg],China,2779.7 km (1727.2 mi),2779.7,2028
3,Baotou (Yinchuan)–Hainan[bh],Baotou–Sanya / Xi'an north,"4,664 km (2,898 mi)",New,350 km/h (220 mph),2028,Mostly operational[bi],China,4664 km (2898 mi),4664,2028
3,Lanzhou (Xining)–Guangzhou,Lanzhou west–Guangzhou,"2,282 km (1,418 mi)",New,350 km/h (220 mph),2028,Mostly operational[bj],China,2282 km (1418 mi),2282,2028
3,Beijing–Hong Kong (Taipei),Beijing Fengtai–Hong Kong West Kawloon / Taipei[bk],"4,392 km (2,729 mi)",New,350 km/h (220 mph),2029,Mostly operational[bl],China,4392 km (2729 mi),4392,2029
3,Shanghai–Chongqing–Chengdu,Shanghai Baoshan–Chengdu,"5,130 km (3,190 mi)",New,350 km/h (220 mph),2029,Partly operational[bm],China,5130 km (3190 mi),5130,2029
3,Beijing–Kunming[bn],Beijing–Kunming / Chongqing,"3,795.7 km (2,358.5 mi)",New,350 km/h (220 mph),2030,Mostly operational[bo],China,3795.7 km (2358.5 mi),3795.7,2030
3,Xiamen–Chongqing,Xiamen–Chongqing,937 km (582 mi),New,350 km/h (220 mph),TBD,Partly operational[bp],China,937 km (582 mi),937,
3,Regional railways,Multiple lines,"1,611 km (1,001 mi)",New,350 km/h (220 mph),2008–2020,Operational,China,1611 km (1001 mi),1611,2008
3,Intercity railways,Multiple lines,"7,210 km (4,480 mi)",New,250 km/h (160 mph),2008–2020,Operational,China,7210 km (4480 mi),7210,2008
3,Class I railways,Multiple lines,"5,056.9 km (3,142.2 mi)",Upgraded,200 km/h (120 mph),2012–2019,Operational,China,5056.9 km (3142.2 mi),5056.9,2012
4,Mumbai–Ahmedabad,Mumbai BKC–Sabarmati,508.18 km (315.77 mi),New,320 km/h (200 mph),2027–2028,Under construction,India,508.18 km (315.77 mi),508.18,2027
5,Whoosh high-speed railway,Halim (Jakarta)–Tegalluar (Bandung),142.8 km (88.7 mi),New,350 km/h (220 mph),2023,Operational,Indonesia,142.8 km (88.7 mi),142.8,2023
6,Tokaido Shinkansen,Tokyo–Shin-Osaka,515.4 km (320.3 mi),New,285 km/h (177 mph),1964,Operational,Japan,515.4 km (320.3 mi),515.4,1964
6,San'y? Shinkansen,Shin-Osaka–Hakata,553.7 km (344.1 mi),New,300 km/h (190 mph),1972–1975,Operational,Japan,553.7 km (344.1 mi),553.7,1972
6,T?hoku Shinkansen,Tokyo–Shin-Aomori,674.9 km (419.4 mi),New,320 km/h (200 mph),1982–2010,Operational,Japan,674.9 km (419.4 mi),674.9,1982
6,J?etsu Shinkansen,Tokyo–Niigata,269.5 km (167.5 mi),New,275 km/h (171 mph),1982,Operational,Japan,269.5 km (167.5 mi),269.5,1982
6,Hokuriku Shinkansen,Takasaki–Tsuruga,470.6 km (292.4 mi),New,260 km/h (160 mph),1997–2024,Operational,Japan,470.6 km (292.4 mi),470.6,1997
6,Kyushu Shinkansen,Hakata–Kagoshima-Ch??,256.8 km (159.6 mi),New,260 km/h (160 mph),2004–2011,Operational,Japan,256.8 km (159.6 mi),256.8,2004
6,Nishi Kyushu Shinkansen,Takeo-Onsen–Nagasaki,66 km (41 mi),New,260 km/h (160 mph),2022,Operational,Japan,66 km (41 mi),66,2022
6,Hokkaido Shinkansen,Shin-Aomori–Shin-Hakodate-Hokuto,148.8 km (92.5 mi),New,260 km/h (160 mph),2016,Operational,Japan,148.8 km (92.5 mi),148.8,2016
6,Hokkaido Shinkansen,Shin-Hakodate-Hokuto-Sapporo,212 km (132 mi),New,320 km/h (200 mph),2031+,Under Construction,Japan,212 km (132 mi),212,2031
6,Ch?? Shinkansen,Shinagawa (Tokyo)–Nagoya,285.6 km (177.5 mi),New (Maglev),505 km/h (314 mph)[bq],2035+,Under construction,Japan,285.6 km (177.5 mi),285.6,2035
7,Haramain HSR,Mecca–Medina,453 km (281 mi),New,300 km/h (190 mph),2018,Operational,Saudi_Arabia,453 km (281 mi),453,2018
7,Saudi Landbridge Project,Jeddah–Riyadh,950 km (590 mi),New,250 km/h (160 mph)[45],2030,Under construction,Saudi_Arabia,950 km (590 mi),950,2030
8,Gyeongbu HSR,Seoul–Busan,417.4 km (259.4 mi),New,305 km/h (190 mph),2004–2015,Operational,South_Korea,417.4 km (259.4 mi),417.4,2004
8,Jeolla Line,Iksan–Yeosu Expo,180.4 km (112.1 mi),Upgraded,230 km/h (140 mph),2011,Operational,South_Korea,180.4 km (112.1 mi),180.4,2011
8,Honam HSR,Osong–Mokpo,249.2 km (154.8 mi),New,305 km/h (190 mph),2015,Operational,South_Korea,249.2 km (154.8 mi),249.2,2015
8,Suseo–Pyeongtaek HSR,Suseo–PyeongtaekJije,61.1 km (38.0 mi),New,305 km/h (190 mph),2016,Operational,South_Korea,61.1 km (38.0 mi),61.1,2016
8,Suseo–Pyeongtaek HSR,PyeongtaekJije–Osong,46.4 km (28.8 mi),New,305 km/h (190 mph),2028,Under construction,South_Korea,46.4 km (28.8 mi),46.4,2028
8,Gyeonggang Line,Seowonju–Gangneung,120.2 km (74.7 mi),New,250 km/h (160 mph),2017,Operational,South_Korea,120.2 km (74.7 mi),120.2,2017
8,Gyeonggang Line,Yeoju–Seowonju,22.1 km (13.7 mi),New,250 km/h (160 mph),2027,Under construction,South_Korea,22.1 km (13.7 mi),22.1,2027
8,Jungbunaeryuk Line,Bubal–Mungyeong,92.7 km (57.6 mi),New,230 km/h (140 mph),2021-2024,Operational,South_Korea,92.7 km (57.6 mi),92.7,2021
8,Jungbunaeryuk Line,Mungyeong–Gimcheon,70.1 km (43.6 mi),Upgraded,250 km/h (160 mph),2032,Approved,South_Korea,70.1 km (43.6 mi),70.1,2032
8,Jungang Line,Cheongnyangni–Moryang,185.4 km (115.2 mi)[br],Partly new,250 km/h (160 mph),2021–2024,Operational,South_Korea,185.4 km (115.2 mi)[br],185.4,2021
8,Donghae Line,Taehwagang–Samcheok,242.3 km (150.6 mi),Partly new,200 km/h (120 mph),2025,Operational,South_Korea,242.3 km (150.6 mi),242.3,2025
8,Donghae Line,Samcheok–Gangneung,45.2 km (28.1 mi),Upgraded,250 km/h (160 mph),Unknown,Approved,South_Korea,45.2 km (28.1 mi),45.2,
8,Donghae Line,Gangneung–Jejin,111.7 km (69.4 mi),New,250 km/h (160 mph),2027,Under construction,South_Korea,111.7 km (69.4 mi),111.7,2027
8,Seohae Line,Seohwaseong–Hongseong,90 km (56 mi),New,250 km/h (160 mph),2026,Under construction,South_Korea,90 km (56 mi),90,2026
8,Janghang Line,Hongseong–Iksan,95.5 km (59.3 mi),Upgraded,250 km/h (160 mph),2027,Undergoing upgrade,South_Korea,95.5 km (59.3 mi),95.5,2027
8,Gyeongjeon Line,Bujeon–Suncheon,165.8 km (103.0 mi),Upgraded,230 km/h (140 mph),2025,Undergoing upgrade,South_Korea,165.8 km (103.0 mi),165.8,2025
8,Gyeongjeon Line,Imseong-ri–Boseong,82.5 km (51.3 mi),Upgraded,200 km/h (120 mph),2025,Undergoing upgrade,South_Korea,82.5 km (51.3 mi),82.5,2025
8,Gyeongjeon Line,Suncheon–GwangjuSongjeong,121.5 km (75.5 mi),Upgraded,250 km/h (160 mph),2030,Undergoing upgrade,South_Korea,121.5 km (75.5 mi),121.5,2030
8,Chuncheon-Sokcho Line,Chuncheon–Sokcho,93.7 km (58.2 mi),New,250 km/h (160 mph),2027,Under construction,South_Korea,93.7 km (58.2 mi),93.7,2027
8,Nambunaeryuk Line,Gimcheon–Geoje,177.9 km (110.5 mi),New,250 km/h (160 mph),2030,Under construction,South_Korea,177.9 km (110.5 mi),177.9,2030
8,Chungbuk Line,Osong–Bongyang,115 km (71 mi),Upgraded,250 km/h (160 mph),2031,Undergoing upgrade,South_Korea,115 km (71 mi),115,2031
9,Taiwan HSR,Nangang–Zuoying,351 km (218 mi)[bs],New,300 km/h (190 mph),2007-2016[bt],Operational,Taiwan,351 km (218 mi)[bs],351,2007
9,Taiwan HSR,Taipei–Yilan,56.4 km (35.0 mi),New,300 km/h (190 mph),2030,Under construction,Taiwan,56.4 km (35.0 mi),56.4,2030
10,Northeastern HSR,Krung Thep Aphiwat Central–Nakhon Ratchasima–Nong Khai,606.01 km (376.56 mi),New,250 km/h (160 mph),2028[bu],Under construction,Thailand,606.01 km (376.56 mi),606.01,2028
10,Eastern HSR,Don Mueang–U-Tapao,220 km (140 mi),New,250 km/h (160 mph),2029,Under construction,Thailand,220 km (140 mi),220,2029
11,Polatl?–Konya,Polatl?–Konya,212 km (132 mi),New,250 km/h (160 mph),2011,Operational,Turkey,212 km (132 mi),212,2011
11,Ankara–Istanbul,Sincan–Köseköy,313 km (194 mi),Partly new,250 km/h (160 mph),2014,Operational,Turkey,313 km (194 mi),313,2014
11,Ankara–Istanbul,Other sections,20 km (12 mi),New,250 km/h (160 mph),2028,Under construction,Turkey,20 km (12 mi),20,2028
11,Konya–Yenice railway,Konya–Karaman,102 km (63 mi),Upgraded,200 km/h (120 mph),2021,Operational,Turkey,102 km (63 mi),102,2021
11,Konya–Yenice railway,Karaman–Uluk??la,135 km (84 mi),Upgraded,200 km/h (120 mph),2026,Undergoing upgrade,Turkey,135 km (84 mi),135,2026
11,Ankara–Sivas,Kaya?–Sivas,394 km (245 mi),New,250 km/h (160 mph),2023,Operational,Turkey,394 km (245 mi),394,2023
11,Band?rma–Bursa–Osmaneli line (in Turkish),Band?rma–Bursa–Osmaneli,201 km (125 mi),Partly new,200 km/h (120 mph),2025–2028,Undergoing upgrade,Turkey,201 km (125 mi),201,2025
11,Istanbul–Kap?kule railway,Halkal?–Kap?kule,229 km (142 mi),Partly new,200 km/h (120 mph),2025–2028,Undergoing upgrade,Turkey,229 km (142 mi),229,2025
11,Mersin–Adana–Gaziantep railway,Mersin–Gaziantep,311 km (193 mi),Upgraded,200 km/h (120 mph),2027,Undergoing upgrade,Turkey,311 km (193 mi),311,2027
