"","table_id","Line","Termini","Length","Type","Maximum speed","Opening","Status","country"
"1","1","Red line","Mersa Matruh–Ain Sokhna","660 km (410 mi)","New","230 km/h (140 mph)","2027","Under construction","Egypt"
"2","2","Al Boraq","Tanger-Ville–Kenitra","186 km (116 mi)[43]","New","320 km/h (200 mph)","2018","Operational","Morocco"
"3","2","Al Boraq","Tanger-Ville–Casablanca","137 km (85 mi)","Upgraded","220 km/h (140 mph)","TBD[ba]","Undergoing upgrade","Morocco"
"4","2","Al Boraq","Kenitra–Rabat","55 km (34 mi)","New","320 km/h (200 mph)","2027","Under construction","Morocco"
"5","2","Al Boraq","Kenitra-Marrakech","375 km (233 mi)","New","320 km/h (200 mph)","TBD[bb]","Under construction","Morocco"
"6","2","Al Boraq","Fez-Rabat[44]","180 km (110 mi)","New","320 km/h (200 mph)","2030","Under construction","Morocco"
"7","3","Shanghai maglev train","Longyang Road–Pudong International","30.5 km (19.0 mi)","New (Maglev)","431 km/h (268 mph)","2004","Operational","China"
"8","3","Beijing–Shanghai","Beijing south–Tianjin West / Shanghai Hongqiao","1,318 km (819 mi)","New","350 km/h (220 mph)","2011","Operational","China"
"9","3","Beijing–Guangzhou[bc]","Beijing west–Guangzhou","2,230 km (1,390 mi)","New","350 km/h (220 mph)","2012","Operational","China"
"10","3","Hangzhou–Fuzhou–Shenzhen","Hangzhou east–Shenzhen north","1,495 km (929 mi)","New","350 km/h (220 mph)","2013","Operational","China"
"11","3","Huhanrong PDL","Shanghai Hongqiao–Chengdu","2,078 km (1,291 mi)","New","350 km/h (220 mph)","2014","Operational","China"
"12","3","Shanghai–Kunming","Shanghai Hongqiao–Kunming south","2,066 km (1,284 mi)","New","350 km/h (220 mph)","2016","Operational","China"
"13","3","Guangzhou–Kunming","Guangzhou south–Kunming south","1,285 km (798 mi)","New","350 km/h (220 mph)","2016","Operational","China"
"14","3","Suifenhe–Manzhouli","Suifenhe–Manzhouli","714 km (444 mi)","Upgraded","250 km/h (160 mph)","2018","Operational","China"
"15","3","Qingdao–Yinchuan","Qingdao north–Yinchuan","1,762 km (1,095 mi)","Upgraded","350 km/h (220 mph)","2018","Operational","China"
"16","3","Beijing–Lanzhou","Beijing–Lanzhou","1,526 km (948 mi)","Upgraded","350 km/h (220 mph)","2019","Operational","China"
"17","3","Beijing–Harbin[bc]","Beijing Chaoyang–Harbin / Dalian","1,700 km (1,100 mi)","New","350 km/h (220 mph)","2021","Operational","China"
"18","3","Eurasia Continental Bridge","Lianyungang–Ürümqi","3,422 km (2,126 mi)","New","350 km/h (220 mph)","2021","Operational","China"
"19","3","Coastal corridor (north extension)[bd]","Dandong–Ningbo","2,659 km (1,652 mi)","New","350 km/h (220 mph)","2027","Mostly operational[be]","China"
"20","3","Coastal corridor (south extension)[bd]","Huizhou south–Dongxing","954 km (593 mi)","New","350 km/h (220 mph)","2028","Mostly operational[bf]","China"
"21","3","Hohhot–Nanning","Hohhot–Nanning","2,779.7 km (1,727.2 mi)","New","350 km/h (220 mph)","2028","Mostly operational[bg]","China"
"22","3","Baotou (Yinchuan)–Hainan[bh]","Baotou–Sanya / Xi'an north","4,664 km (2,898 mi)","New","350 km/h (220 mph)","2028","Mostly operational[bi]","China"
"23","3","Lanzhou (Xining)–Guangzhou","Lanzhou west–Guangzhou","2,282 km (1,418 mi)","New","350 km/h (220 mph)","2028","Mostly operational[bj]","China"
"24","3","Beijing–Hong Kong (Taipei)","Beijing Fengtai–Hong Kong West Kawloon / Taipei[bk]","4,392 km (2,729 mi)","New","350 km/h (220 mph)","2029","Mostly operational[bl]","China"
"25","3","Shanghai–Chongqing–Chengdu","Shanghai Baoshan–Chengdu","5,130 km (3,190 mi)","New","350 km/h (220 mph)","2029","Partly operational[bm]","China"
