"","BracketID","TotalPoints","Model","Year"
"1",1,31,"Ranger",2021
"2",2,39,"Ranger",2021
"3",3,48,"Ranger",2021
"4",4,31,"Ranger",2021
"5",5,31,"Ranger",2021
"6",6,29,"Ranger",2021
"7",7,36,"Ranger",2021
"8",8,40,"Ranger",2021
"9",9,34,"Ranger",2021
"10",10,27,"Ranger",2021
"11",11,46,"Ranger",2021
"12",12,26,"Ranger",2021
"13",13,45,"Ranger",2021
"14",14,29,"Ranger",2021
"15",15,34,"Ranger",2021
"16",16,36,"Ranger",2021
"17",17,32,"Ranger",2021
"18",18,28,"Ranger",2021
"19",19,31,"Ranger",2021
"20",20,36,"Ranger",2021
"21",21,37,"Ranger",2021
"22",22,35,"Ranger",2021
"23",23,27,"Ranger",2021
"24",24,46,"Ranger",2021
"25",25,26,"Ranger",2021
"26",26,34,"Ranger",2021
"27",27,39,"Ranger",2021
"28",28,32,"Ranger",2021
"29",29,33,"Ranger",2021
"30",30,33,"Ranger",2021
"31",31,34,"Ranger",2021
"32",32,40,"Ranger",2021
"33",33,27,"Ranger",2021
"34",34,37,"Ranger",2021
"35",35,25,"Ranger",2021
"36",36,49,"Ranger",2021
"37",37,32,"Ranger",2021
"38",38,34,"Ranger",2021
"39",39,34,"Ranger",2021
"40",40,32,"Ranger",2021
"41",41,31,"Ranger",2021
"42",42,32,"Ranger",2021
"43",43,39,"Ranger",2021
"44",44,24,"Ranger",2021
"45",45,30,"Ranger",2021
"46",46,39,"Ranger",2021
"47",47,31,"Ranger",2021
"48",48,33,"Ranger",2021
"49",49,43,"Ranger",2021
"50",50,36,"Ranger",2021
"51",51,35,"Ranger",2021
"52",52,20,"Ranger",2021
"53",53,26,"Ranger",2021
"54",54,21,"Ranger",2021
"55",55,42,"Ranger",2021
"56",56,27,"Ranger",2021
"57",57,33,"Ranger",2021
"58",58,30,"Ranger",2021
"59",59,33,"Ranger",2021
"60",60,25,"Ranger",2021
"61",61,22,"Ranger",2021
"62",62,41,"Ranger",2021
"63",63,37,"Ranger",2021
"64",64,35,"Ranger",2021
"65",65,34,"Ranger",2021
"66",66,34,"Ranger",2021
"67",67,43,"Ranger",2021
"68",68,38,"Ranger",2021
"69",69,29,"Ranger",2021
"70",70,35,"Ranger",2021
"71",71,34,"Ranger",2021
"72",72,30,"Ranger",2021
"73",73,38,"Ranger",2021
"74",74,40,"Ranger",2021
"75",75,32,"Ranger",2021
"76",76,30,"Ranger",2021
"77",77,43,"Ranger",2021
"78",78,34,"Ranger",2021
"79",79,29,"Ranger",2021
"80",80,37,"Ranger",2021
"81",81,32,"Ranger",2021
"82",82,28,"Ranger",2021
"83",83,33,"Ranger",2021
"84",84,35,"Ranger",2021
"85",85,28,"Ranger",2021
"86",86,27,"Ranger",2021
"87",87,28,"Ranger",2021
"88",88,37,"Ranger",2021
"89",89,35,"Ranger",2021
"90",90,27,"Ranger",2021
"91",91,36,"Ranger",2021
"92",92,32,"Ranger",2021
"93",93,46,"Ranger",2021
"94",94,41,"Ranger",2021
"95",95,30,"Ranger",2021
"96",96,34,"Ranger",2021
"97",97,25,"Ranger",2021
"98",98,33,"Ranger",2021
"99",99,27,"Ranger",2021
"100",100,35,"Ranger",2021
"101",1,38,"Logistic",2021
"102",2,32,"Logistic",2021
"103",3,36,"Logistic",2021
"104",4,33,"Logistic",2021
"105",5,29,"Logistic",2021
"106",6,39,"Logistic",2021
"107",7,39,"Logistic",2021
"108",8,30,"Logistic",2021
"109",9,26,"Logistic",2021
"110",10,33,"Logistic",2021
"111",11,27,"Logistic",2021
"112",12,31,"Logistic",2021
"113",13,43,"Logistic",2021
"114",14,38,"Logistic",2021
"115",15,41,"Logistic",2021
"116",16,40,"Logistic",2021
"117",17,25,"Logistic",2021
"118",18,39,"Logistic",2021
