"","Evaluation_Year","Brier_Score","LogLoss","Accuracy","N_Valid_Predictions","Model"
"1",2021,0.211993760447836,0.611902261491792,0.666666666666667,66,"Logistic Regression"
"2",2022,0.230515402407197,0.665131699678129,0.656716417910448,67,"Logistic Regression"
"3",2023,0.217922102452189,0.643416149918903,0.656716417910448,67,"Logistic Regression"
"4",2024,0.196794570115414,0.571657440965213,0.686567164179104,67,"Logistic Regression"
"5",2025,0.142577378137771,0.435279151807764,0.761194029850746,67,"Logistic Regression"
"6",2026,0.154735759233741,0.453932692853136,0.746268656716418,67,"Logistic Regression"
"7",2021,0.214203939393939,0.634951408853038,0.696969696969697,66,"Random Forest"
"8",2022,0.224137552238806,0.634853247169758,0.656716417910448,67,"Random Forest"
"9",2023,0.219045910447761,0.631900711988653,0.611940298507463,67,"Random Forest"
"10",2024,0.190256955223881,0.558434925471939,0.671641791044776,67,"Random Forest"
"11",2025,0.165846328358209,0.496611894729764,0.776119402985075,67,"Random Forest"
"12",2026,0.169933970149254,0.50231950652042,0.716417910447761,67,"Random Forest"
"13",2021,0.20259536803114,0.590804039509689,0.666666666666667,66,"xgboosted rf"
"14",2022,0.225668893379056,0.642903524357222,0.671641791044776,67,"xgboosted rf"
"15",2023,0.221132029030805,0.630102936270696,0.582089552238806,67,"xgboosted rf"
"16",2024,0.197053624424275,0.576713531768143,0.701492537313433,67,"xgboosted rf"
"17",2025,0.135611541365508,0.42743371159829,0.82089552238806,67,"xgboosted rf"
"18",2026,0.182005430246537,0.534161165459336,0.73134328358209,67,"xgboosted rf"
"19",2021,0.216963143786953,0.640214809967449,0.621212121212121,66,"PCA Linear Regression"
"20",2022,0.21385060657318,1.08891888814926,0.73134328358209,67,"PCA Linear Regression"
"21",2023,0.211749720241707,1.08085098807391,0.686567164179104,67,"PCA Linear Regression"
"22",2024,0.192448136461479,0.562794046180946,0.701492537313433,67,"PCA Linear Regression"
"23",2025,0.159580421342484,0.480636015617858,0.805970149253731,67,"PCA Linear Regression"
"24",2026,0.163528805128559,0.475645228397931,0.73134328358209,67,"PCA Linear Regression"
"25",2021,0.275180088628424,1.07721572856407,0.681818181818182,66,"consensus"
"26",2022,0.252346665279119,0.996750537883615,0.716417910447761,67,"consensus"
"27",2023,0.259953964609255,1.00368767867983,0.671641791044776,67,"consensus"
"28",2024,0.220549448242137,0.760318850671151,0.716417910447761,67,"consensus"
"29",2025,0.138329320535626,0.439223185066874,0.82089552238806,67,"consensus"
"30",2026,0.191139085186166,0.650216130538202,0.746268656716418,67,"consensus"
