"","name","round1","round2","round3","round4","round5","round6","year","seed","team.id","TEAM.NO"
"1","AR-Little Rock",0.403,0.036,0.011,0.004,0.002,0.001,2016,NA,NA,NA
"2","Arizona",0.803,0.254,0.087,0.022,0.01,0.006,2016,NA,NA,NA
"3","Austin Peay",0.013,0.007,0.005,0.004,0.002,0.001,2016,NA,NA,NA
"4","Baylor",0.687,0.112,0.038,0.016,0.004,0.002,2016,NA,NA,NA
"5","Buffalo",0.059,0.018,0.004,0.001,0.001,0,2016,NA,NA,NA
"6","Butler",0.228,0.048,0.012,0.004,0.002,0.001,2016,NA,NA,NA
"7","Cal",0.891,0.571,0.074,0.03,0.013,0.006,2016,NA,NA,NA
"8","Chattanooga",0.236,0.057,0.006,0.002,0.001,0,2016,NA,NA,NA
"9","Cincinnati",0.336,0.028,0.007,0.003,0.001,0,2016,NA,NA,NA
"10","Colorado",0.289,0.014,0.006,0.002,0.001,0.001,2016,NA,NA,NA
"11","CSU Bakersfield",0.036,0.014,0.007,0.002,0.001,0,2016,NA,NA,NA
"12","Dayton",0.601,0.074,0.02,0.006,0.003,0.002,2016,NA,NA,NA
"13","Duke",0.965,0.847,0.589,0.471,0.223,0.146,2016,NA,NA,NA
"14","FGCU",0.017,0.008,0.005,0.004,0.002,0.001,2016,NA,NA,NA
"15","Fresno State",0.033,0.015,0.004,0.001,0.001,0,2016,NA,NA,NA
"16","Gonzaga",0.433,0.049,0.013,0.003,0.002,0.001,2016,NA,NA,NA
"17","Green Bay",0.051,0.016,0.004,0.001,0.001,0,2016,NA,NA,NA
"18","Hampton",0.02,0.008,0.005,0.004,0.002,0.001,2016,NA,NA,NA
"19","Hawaii",0.109,0.034,0.004,0.001,0.001,0,2016,NA,NA,NA
"20","Holy Cross",0.02,0.009,0.005,0.004,0.002,0.001,2016,NA,NA,NA
"21","Indiana",0.764,0.337,0.048,0.016,0.004,0.002,2016,NA,NA,NA
"22","Iona",0.029,0.013,0.003,0.001,0.001,0,2016,NA,NA,NA
"23","Iowa",0.62,0.122,0.046,0.007,0.002,0.001,2016,NA,NA,NA
"24","Iowa State",0.971,0.879,0.578,0.385,0.28,0.094,2016,NA,NA,NA
