Season,TeamID,Games,WinPct,AvgPoints,AvgOppPoints,FG2_Pct,FG3_Pct,FT_Pct,ThreeP_Rate,OR_pg,DR_pg,Ast_pg,TO_pg,Stl_pg,Blk_pg,PF_pg,AvgOT,AdjEM,AdjOE,AdjDE,AdjTempo,RankAdjEM,CoachName,YearsNCAA,CareerTourneyWins,SOV,Seed_Num
2003,1102,28,0.42857142857142855,56.5,58.5,0.5969868173258004,0.37564322469982847,0.651356993736952,0.5233393177737882,4.5,17,12,11,5.5,1,19,0,1.61821,105.34,103.722,52.9909,152,joe_scott,2,0,0.3241025641025641,17
2003,1103,27,0.48148148148148145,79,77,0.5456238361266295,0.3387096774193548,0.7363896848137536,0.28779840848806365,10,20,16,13,8,2,19,0.2962962962962963,-0.729852,110.167,110.896,67.0447,174,dan_hipsher,9,0,0.45988165680473375,17
2003,1104,28,0.6071428571428571,69,63.5,0.47368421052631576,0.32014388489208634,0.7098976109215017,0.3472829481574016,13,24,13,13,6,4,18,0.03571428571428571,15.468,110.57,95.1017,65.5541,33,mark_gottfried,7,0,0.7171040723981901,10
2003,1105,26,0.2692307692307692,71.5,78.5,0.4114877589453861,0.3648148148148148,0.7059859154929577,0.33707865168539325,14,23.5,15,18,9,2,20,0.15384615384615385,-18.0084,90.2282,108.237,72.3632,307,vann_pettaway,3,0,0.050109890109890115,17
2003,1106,28,0.4642857142857143,60.5,63.5,0.4601518026565465,0.34615384615384615,0.6464208242950108,0.31912144702842377,11.5,23.5,11,16.5,8.5,3,18,0.03571428571428571,-9.68419,91.1769,100.861,64.3257,255,rob_spivery,6,0,0.14106508875739646,17
2003,1107,28,0.25,62.5,78,0.4564777327935223,0.357487922705314,0.7335092348284961,0.38595400870105656,8,21,11,12.5,7,2,15,0.21428571428571427,-18.5659,94.8536,113.42,66.0018,311,will_brown,1,0,0.11736263736263737,17
2003,1108,33,0.42424242424242425,68,75,0.4653323802716226,0.31910946196660483,0.6685962373371924,0.27812177502579977,13,24,13,17,8,4,19,0.06060606060606061,-11.5407,92.727,104.268,70.5744,276,davey_whitney,11,0,0.11846153846153847,17
2003,1110,30,0.5333333333333333,66,62.5,0.47368421052631576,0.37896253602305474,0.6814516129032258,0.43212951432129515,10,23,15.5,12.5,6,1.5,18,0.06666666666666667,1.87115,103.707,101.836,62.9563,146,jeff_a_jones,10,0,0.22596153846153846,17
2003,1111,26,0.6153846153846154,83,78.5,0.5036166365280289,0.3274956217162872,0.7195301027900147,0.3404889683959451,13,25,14,15,10,4,18,0.15384615384615385,-1.07929,103.46,104.54,76.2347,179,houston_fancher,2,0,0.2996153846153846,17
2003,1112,28,0.8928571428571429,86.5,69.5,0.5101721439749609,0.3505338078291815,0.7014285714285714,0.30543478260869567,15,26,18.5,14.5,8,4,17.5,0.07142857142857142,26.4243,115.311,88.8866,73.0165,4,lute_olson,18,0,0.7214769230769231,1
